"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"699";"р. Ишим, выше г. Ишима, превышение ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.07.2020";"23.08.2020 22:29:23"
"700";"р. Ишим, ниже г. Ишима, превышение ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.07.2020";"23.08.2020 22:31:21"
"701";"р. Ишим, в створе с. Абатское, превышение ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"20.07.2020";"23.08.2020 22:32:13"
"702";"р. Тобол, в створе с. Коркино, превышение ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.07.2020";"23.08.2020 22:33:20"
"703";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.07.2020";"23.08.2020 22:35:13"
"704";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.07.2020";"23.08.2020 22:36:02"
"705";"р. Тобол, в створе с. Иевлево, превышение ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.07.2020";"23.08.2020 22:37:20"
"706";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.08.2020";"29.09.2020 11:07:53"
"707";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.08.2020";"29.09.2020 11:09:50"
"708";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.08.2020";"29.09.2020 11:12:09"
"709";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.08.2020";"29.09.2020 11:12:53"
"710";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.08.2020";"29.09.2020 11:14:44"
"711";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.08.2020";"29.09.2020 11:17:58"
"712";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.08.2020";"29.09.2020 11:18:48"
"713";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.08.2020";"29.09.2020 11:19:56"
"714";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.08.2020";"29.09.2020 11:20:40"
"715";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.08.2020";"29.09.2020 11:23:19"
"716";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.08.2020";"29.09.2020 11:24:29"
"717";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.08.2020";"29.09.2020 11:25:46"
